CPU_Cores,CPU_Load,Memory_Usage,Disk_IO,Network_Bandwidth,Compute1_Watts,Compute3_Watts
1,40,40,40,80,178,153
1,40,40,40,90,179,154
1,40,40,60,0,179,154
1,40,40,60,20,180,155
1,40,40,60,40,183,158
1,40,40,60,60,181,153
1,40,40,60,80,189,158
1,40,40,60,90,178,153
1,40,40,80,0,178,154
1,40,40,80,20,188,154
1,40,40,80,40,181,153
1,40,40,80,60,180,153
1,40,40,80,80,178,163
1,40,40,80,90,176,156
1,40,40,90,0,189,154
1,40,40,90,20,178,158
1,40,40,90,40,179,152
1,40,40,90,60,184,152
1,40,40,90,80,178,156
1,40,40,90,90,188,154
1,40,60,0,0,199,154
1,40,60,0,20,194,156
1,40,60,0,40,183,155
1,40,60,0,60,193,153
1,40,60,0,80,196,153
1,40,60,0,90,196,161
1,40,60,20,0,193,152
1,40,60,20,20,199,159
1,40,60,20,40,200,155
1,40,60,20,60,186,154
1,40,60,20,80,194,155
1,40,60,20,90,197,155
1,40,60,40,0,194,155
1,40,60,40,20,195,151
1,40,60,40,40,193,151
1,40,60,40,60,197,153
1,40,60,40,80,178,153
1,40,60,40,90,192,153
1,40,60,60,0,196,155
1,40,60,60,20,198,154
1,40,60,60,40,195,152
1,40,60,60,60,199,154
1,40,60,60,80,200,153
1,40,60,60,90,179,154
1,40,60,80,0,198,155
1,40,60,80,20,194,156
1,40,60,80,40,194,158
1,40,60,80,60,197,159
1,40,60,80,80,192,157
1,40,60,80,90,191,161
1,40,60,90,0,201,153
1,40,60,90,20,194,152
1,40,60,90,40,195,155
1,40,60,90,60,184,153
1,40,60,90,80,200,153
1,40,60,90,90,208,154
1,40,80,0,0,207,157
1,40,80,0,20,206,152
1,40,80,0,40,198,151
1,40,80,0,60,190,155
1,40,80,0,80,196,152
1,40,80,0,90,190,155
1,40,80,20,0,192,155
1,40,80,20,20,199,154
1,40,80,20,40,182,155
1,40,80,20,60,198,155
1,40,80,20,80,197,158
1,40,80,20,90,200,159
1,40,80,40,0,192,161
1,40,80,40,20,197,153
1,40,80,40,40,196,151
1,40,80,40,60,200,152
1,40,80,40,80,196,151
1,40,80,40,90,190,154
1,40,80,60,0,196,152
1,40,80,60,20,189,154
1,40,80,60,40,198,152
1,40,80,60,60,202,150
1,40,80,60,80,189,154
1,40,80,60,90,198,152
1,40,80,80,0,199,152
1,40,80,80,20,200,151
1,40,80,80,40,193,152
1,40,80,80,60,189,153
